city,province,population,lat,lon
Tehran,Tehran,8693700,35.69,51.39
Mashhad,Razavi Khorasan,3001200,36.29,59.61
Isfahan,Isfahan,1961300,32.66,51.68
Karaj,Alborz,1592500,35.84,50.93
Shiraz,Fars,1565600,29.59,52.58
Tabriz,East Azerbaijan,1558700,38.08,46.29
Qom,Qom,1201200,34.64,50.88
Ahvaz,Khuzestan,1184800,31.32,48.67
Kermanshah,Kermanshah,946700,34.31,47.06
Urmia,West Azerbaijan,736200,37.55,45.07
Rasht,Gilan,680000,37.28,49.58
Zahedan,Sistan and Baluchestan,587700,29.49,60.86
Hamadan,Hamadan,554400,34.79,48.51
Kerman,Kerman,537700,30.28,57.07
Yazd,Yazd,529700,31.89,54.36
Arak,Markazi,503647,34.09,49.69
Ardabil,Ardabil,410753,38.25,48.29
Bandar Abbas,Hormozgan,352173,27.18,56.27
Zanjan,Zanjan,357471,36.67,48.47
Sanandaj,Kurdistan,349176,35.31,46.99
